Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Characteristics [Cell Cycle Phase],Term Source 3 REF,Term Source 3 Accession,Experimental Condition [Sister Chromatid Labelling],Experimental Condition [Genome Editing],Experimental Condition [ # fill in],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Assay Name,Source Name,Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Processed Data File,,,,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-93.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_18,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-93.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-95.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_19,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-95.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-96.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_20,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-96.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-97.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_21,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-97.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-98.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_22,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-98.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-99.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_23,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep2-05-91-99.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #02.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_24,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #02.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #04.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_25,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #04.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #05.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_26,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #05.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #06.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_27,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #06.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #07.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_28,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #07.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #08.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_29,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #08.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #09.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_30,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #09.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_G2,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #10.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,G2,NCIT,NCIT_C17356,One sister,,wild_type_one_sister_g2_stain_h3s10p,,,,validation_cell_cycle_stage,wild_type_one_sister_g2_stain_h3s10p_cell_31,220919_5618_wt_hemi_g2_ro_h3s10p_cycb1_zoom4_8_rep3-01-101.czi #10.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_g2_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_Prometa,220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep1-03-05.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,,wild_type_one_sister_prometa_stain_h3s10p,ENSG00000134057,CCNB1 (Cyclin B1),,validation_cell_cycle_stage,wild_type_one_sister_prometa_stain_h3s10p_cell_1,220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep1-03-05.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_prometa_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_Prometa,220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep1-12-07.czi #5.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,,wild_type_one_sister_prometa_stain_h3s10p,ENSG00000134057,CCNB1 (Cyclin B1),,validation_cell_cycle_stage,wild_type_one_sister_prometa_stain_h3s10p_cell_2,220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep1-12-07.czi #5.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_prometa_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_Prometa,220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #01.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,,wild_type_one_sister_prometa_stain_h3s10p,ENSG00000134057,CCNB1 (Cyclin B1),,validation_cell_cycle_stage,wild_type_one_sister_prometa_stain_h3s10p_cell_3,220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #01.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_prometa_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_Prometa,220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #02.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,,wild_type_one_sister_prometa_stain_h3s10p,ENSG00000134057,CCNB1 (Cyclin B1),,validation_cell_cycle_stage,wild_type_one_sister_prometa_stain_h3s10p_cell_4,220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #02.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_prometa_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
WT_Prometa,220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #03.tif_registered.tif,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,HeLa Kyoto,Prometaphase,NCIT,NCIT_C51030,One sister,,wild_type_one_sister_prometa_stain_h3s10p,ENSG00000134057,CCNB1 (Cyclin B1),,validation_cell_cycle_stage,wild_type_one_sister_prometa_stain_h3s10p_cell_5,220919_5618_wt_hemi_prometa_60min_stlc_h3s10p_cycb1_zoom5_rep2-01-08.czi #03.tif_registered.tif,idr_upload/images/experiment4/wild_type/wild_type_one_sister_prometa_stain_h3s10p,,processed,cyclin_b1,phospho-h3-serine10,f-ara-edu,hoechst,idr0000_experiment4_processed_measure_fluorescence_single_cells.txt,,
